time,dist,area
319,12.04159458,57
319,40.80441153,18
320,3.16227766,63
320,12.04159458,57
320,40.80441153,18
321,4,63
321,13.03840481,57
321,40.80441153,18
322,3.16227766,63
322,13.03840481,64
322,40.80441153,18
323,4.123105626,63
323,15.03329638,64
323,40.80441153,18
324,3.16227766,63
324,40.80441153,18
325,3.605551275,70
325,39.40812099,44
325,40.80441153,18
326,3.605551275,57
326,40.80441153,18
327,4.123105626,57
327,40.80441153,19
328,3.16227766,63
328,40.80441153,18
329,3,63
329,40.80441153,24
330,4.123105626,50
330,40.80441153,18
331,3.16227766,63
331,40.80441153,18
332,4.123105626,63
332,40.80441153,18
333,3.605551275,57
333,40.80441153,18
334,3,63
334,40.80441153,26
335,3.16227766,63
335,40.80441153,26
336,4,63
336,41.40048309,16
337,4,57
337,40.80441153,16
338,4,55
338,40.80441153,18
339,4.123105626,55
339,40.80441153,18
340,3,63
340,40.80441153,26
341,3.605551275,57
341,40.80441153,19
342,2.236067977,63
342,40.80441153,26
343,2.828427125,63
343,40.22437072,31
344,4.123105626,55
344,40.80441153,19
345,3.16227766,63
345,40.80441153,19
346,3,63
346,40.80441153,18
347,4,55
347,40.80441153,16
348,3.605551275,57
348,40.22437072,21
348,-32.52691193,52
349,3,63
349,40.80441153,18
350,3.605551275,57
350,40.22437072,19
351,4.123105626,55
351,40.22437072,19
352,3.605551275,57
352,40.80441153,18
353,3.605551275,57
353,40.22437072,21
353,-31.82766093,52
354,3.605551275,63
354,40.22437072,21
354,-31.82766093,48
355,2,63
355,40.80441153,18
356,3.16227766,63
356,40.22437072,18
357,4,55
357,40.80441153,19
358,3.605551275,57
358,40.22437072,19
358,-32.52691193,52
359,2,63
359,40.80441153,18
360,4.472135955,63
360,40.22437072,21
361,3.605551275,57
361,40.22437072,19
362,3.16227766,63
362,40.22437072,22
363,4.123105626,50
363,40.22437072,19
364,3.16227766,55
364,40.22437072,19
364,-32.52691193,48
365,2.828427125,57
365,40.22437072,19
365,-32.52691193,52
366,3.605551275,63
366,40.22437072,21
366,-32.52691193,52
367,3.16227766,57
367,40.80441153,19
368,3.605551275,63
368,40.22437072,21
369,3,63
369,40.80441153,21
370,3.605551275,57
370,40.22437072,19
370,34.40930107,24
371,3.605551275,63
371,-31.82766093,48
372,8.062257748,63
372,-18.38477631,143
372,19.02629759,85
372,-31.144823,63
373,6.403124237,63
373,-20.51828453,139
373,-19.02629759,103
373,-31.11269837,63
374,2.236067977,63
374,40.80441153,18
375,24.18677324,142
375,-6.708203932,63
375,11.04536102,70
375,29.06888371,95
375,25.8069758,113
375,35.4682957,79
376,26.01922366,130
376,-6.708203932,63
376,11.40175425,88
376,29.06888371,99
377,30,95
377,-4.242640687,57
377,17.2626765,114
377,31.82766093,114
378,24.0208243,165
378,-4.472135955,64
378,27.29468813,104
378,21.26029163,85
379,3.16227766,57
379,40.80441153,18
380,3.16227766,63
380,40.80441153,19
381,3.605551275,50
381,40.80441153,19
382,4.472135955,55
382,40.80441153,18
383,4.472135955,55
383,40.22437072,21
384,2.828427125,63
384,40.80441153,26
385,4,63
385,40.80441153,16
386,3.605551275,63
386,40.80441153,18
387,4,55
387,41.40048309,19
388,2.236067977,63
388,40.80441153,18
389,2.236067977,70
389,40.80441153,18
390,3.16227766,71
390,40.80441153,18
391,3.605551275,70
391,40.22437072,21
