,image_num,trap_num,time_num,total_objs,obj_num,detect_class,predic_rate,obj_X,obj_Y,width,height,area,gateDist,edgeDist,region,predecessorID,successorID
44428,19643,51,93,2,1,cell,97%,29,29,12,9,85,5.099019514,29.01723626,A,2,NA
44429,19643,51,93,2,2,cell,97%,28,41,9,8,57,-7.280109889,41.0487515,B,2,2
44430,19644,51,94,2,1,cell,97%,30,29,12,10,95,5,29,A,2,NA
44431,19644,51,94,2,2,cell,96%,29,41,10,10,79,-7.071067812,41.01219331,B,2,2
44432,19645,51,95,2,1,cell,97%,29,29,11,10,87,5.099019514,29.01723626,A,2,1
44433,19645,51,95,2,2,cell,96%,30,40,9,9,64,-6,40,B,2,NA
44434,19646,51,96,1,1,cell,97%,29,29,11,9,78,5.099019514,29.01723626,A,1,2
44435,19647,51,97,2,1,cell,96%,29,29,11,9,78,5.099019514,29.01723626,A,1,NA
44436,19647,51,97,2,2,cell,96%,29,38,7,7,39,-4.123105626,38.01315562,B,1,2
44437,19648,51,98,2,1,cell,97%,29,29,11,9,78,5.099019514,29.01723626,A,2,NA
44438,19648,51,98,2,2,cell,96%,29,39,7,7,39,-5.099019514,39.01281841,B,2,2
44439,19649,51,99,2,1,cell,96%,29,29,12,10,95,5.099019514,29.01723626,A,2,NA
44440,19649,51,99,2,2,cell,96%,29,39,8,8,51,-5.099019514,39.01281841,B,2,2
44441,19650,51,100,2,1,cell,96%,29,28,12,9,85,6.08276253,28.01785145,A,2,NA
44442,19650,51,100,2,2,cell,96%,29,39,8,9,57,-5.099019514,39.01281841,B,2,2
44443,19651,51,101,2,1,cell,97%,28,29,12,10,95,5.385164807,29.06888371,A,2,NA
44444,19651,51,101,2,2,cell,95%,28,40,9,9,64,-6.32455532,40.04996879,B,2,3
44445,19652,51,102,3,1,cell,96%,27,19,11,9,78,15.29705854,19.23538406,A,2,NA
44446,19652,51,102,3,2,cell,97%,29,30,11,10,87,4.123105626,30.01666204,A,2,NA
44447,19652,51,102,3,3,cell,96%,30,42,8,9,57,-8,42,B,2,3
44448,19653,51,103,3,1,cell,96%,26,18,10,9,71,16.4924225,18.43908891,A,3,NA
